dayOfWeek,hourOfDay,P1,P2,year,month
Friday,0,18.213061224489795,7.755918367346939,2018,2
Friday,1,18.930104166666663,7.400937500000001,2018,2
Friday,2,21.55858585858586,8.175050505050507,2018,2
Friday,3,22.59680412371134,8.589587628865976,2018,2
Friday,4,22.256363636363634,9.039696969696974,2018,2
Friday,5,21.28154639175257,9.115463917525771,2018,2
Friday,6,22.851199999999984,9.790000000000001,2018,2
Friday,7,23.88802083333334,10.369479166666666,2018,2
Friday,8,24.261599999999998,10.748199999999997,2018,2
Friday,9,22.300957446808507,9.754893617021276,2018,2
Friday,10,18.269199999999998,8.004799999999996,2018,2
Friday,11,15.883541666666668,6.869062500000001,2018,2
Friday,12,14.235306122448986,6.43173469387755,2018,2
Friday,13,12.44484210526316,5.980315789473684,2018,2
Friday,14,10.648877551020403,5.143367346938776,2018,2
Friday,15,9.330937499999997,4.256041666666667,2018,2
Friday,16,10.39918367346939,4.805816326530613,2018,2
Friday,17,14.820927835051545,7.393505154639174,2018,2
Friday,18,15.799081632653063,7.637346938775507,2018,2
Friday,19,21.317040816326532,10.437755102040814,2018,2
Friday,20,21.35928571428572,10.911326530612245,2018,2
Friday,21,23.994432989690722,12.723402061855673,2018,2
Friday,22,26.483608247422673,14.083814432989685,2018,2
Friday,23,28.03090909090908,14.418282828282829,2018,2
Monday,0,12.81885416666667,7.222395833333333,2018,2
Monday,1,12.102222222222215,6.776060606060607,2018,2
Monday,2,10.593749999999995,5.448437500000001,2018,2
Monday,3,10.777142857142854,5.56530612244898,2018,2
Monday,4,10.705773195876292,5.551237113402062,2018,2
Monday,5,12.281734693877548,6.368163265306124,2018,2
Monday,6,13.72590909090909,7.489659090909091,2018,2
Monday,7,19.163020833333334,9.206041666666666,2018,2
Monday,8,23.155000000000012,10.569148936170214,2018,2
Monday,9,25.689885057471265,11.44206896551724,2018,2
Monday,10,23.093146067415734,9.768314606741573,2018,2
Monday,11,16.242065217391303,7.426304347826087,2018,2
Monday,12,11.680322580645159,4.927096774193548,2018,2
Monday,13,8.285056179775282,3.304831460674157,2018,2
Monday,14,8.269871794871797,3.1828205128205136,2018,2
Monday,15,9.059999999999999,3.462048192771085,2018,2
Monday,16,12.504712643678161,5.544367816091954,2018,2
Monday,17,11.51337209302326,5.514302325581397,2018,2
Monday,18,12.20445652173913,5.925434782608694,2018,2
Monday,19,13.823516483516483,7.114835164835164,2018,2
Monday,20,12.952708333333334,7.265520833333336,2018,2
Monday,21,16.033956043956042,8.387032967032965,2018,2
Monday,22,19.383956043956058,9.65,2018,2
Monday,23,13.831818181818182,6.729772727272726,2018,2
Saturday,0,25.3459793814433,12.700515463917522,2018,2
Saturday,1,25.73082474226803,13.073092783505146,2018,2
Saturday,2,25.98122448979592,13.006020408163273,2018,2
Saturday,3,25.23367346938776,12.604693877551025,2018,2
Saturday,4,24.686597938144335,12.46237113402062,2018,2
Saturday,5,24.209387755102053,12.21448979591837,2018,2
Saturday,6,23.15163265306122,11.396938775510206,2018,2
